TIME,VALUE,LABEL
92.9,499.622,B4+20c
93.08,659.255,E5
93.14,499.622,B4+20c
93.28,587.33,D5
93.46,225.142,A3+40c
93.76,523.251,C5
93.98,523.251,C5
94.2,445.113,A4+20c
94.42,529.331,C5+20c
94.88,523.251,C5
95.38,176.643,F3+20c
95.8,345.217,F4-20c
96.22,523.251,C5
96.46,587.33,D5
96.7,659.255,E5
96.92,587.33,D5
97.18,264.666,C4+20c
97.42,396.55,G4+20c
97.64,523.251,C5
98.04,396.55,G4+20c
98.12,783.991,G5
98.54,523.251,C5
98.8,587.33,D5
99.02,391.995,G4
99.04,198.275,G3+20c
99.5,391.995,G4
99.54,198.275,G3+20c
99.96,523.251,C5
100.18,587.33,D5
100.3,198.275,G3+20c
100.44,659.255,E5
100.64,587.33,D5
100.82,220,A3
101.12,523.251,C5
101.34,529.331,C5+20c
101.58,445.113,A4+20c
101.74,222.556,A3+20c
101.84,523.251,C5
102.26,523.251,C5
102.5,523.251,C5
102.74,176.643,F3+20c
103.18,353.286,F4+20c
103.64,523.251,C5
103.86,587.33,D5
104.12,659.255,E5
104.32,587.33,D5
104.6,264.666,C4+20c
104.82,396.55,G4+20c
105.04,523.251,C5
105.42,396.55,G4+20c
105.5,783.991,G5
105.94,523.251,C5
106.16,587.33,D5
106.28,529.331,C5+20c
106.42,396.55,G4+20c
106.44,198.275,G3+20c
106.9,396.55,G4+20c
106.96,499.622,B4+20c
107.14,659.255,E5
107.24,499.622,B4+20c
107.34,264.666,C4+20c
107.44,659.255,E5
107.6,297.077,D4+20c
107.76,333.458,E4+20c
107.92,499.622,B4+20c
108,659.255,E5
108.02,297.077,D4+20c
108.18,111.278,A2+20c
108.52,264.666,C4+20c
108.6,220,A3
108.84,220,A3
109.1,523.251,C5
109.24,529.331,C5+20c
109.48,220,A3
109.86,523.251,C5
110.04,88.3215,F2+20c
111.06,264.666,C4+20c
111.28,297.077,D4+20c
111.5,333.458,E4+20c
111.74,297.077,D4+20c
111.8,333.458,E4+20c
111.94,132.333,C3+20c
112.18,396.55,G4+20c
112.44,264.666,C4+20c
112.88,396.55,G4+20c
112.92,264.666,C4+20c
113.34,264.666,C4+20c
113.6,297.077,D4+20c
113.68,99.1376,G2+20c
114.26,396.55,G4+20c
114.72,264.666,C4+20c
114.94,297.077,D4+20c
115.16,329.628,E4
